,species,tilt_axis,crystal_type,angle,lattice_constant_bcc,lattice_constant_fcc,lattice_constant_sc,bulk_modulus_bcc,bulk_modulus_fcc,bulk_modulus_sc,c44_bcc,c44_fcc,c44_sc,c12_bcc,c12_fcc,c12_sc,c11_bcc,c11_fcc,c11_sc,cohesive_energy_bcc,cohesive_energy_fcc,cohesive_energy_sc,thermal_expansion_coeff_bcc,thermal_expansion_coeff_fcc,surface_energy_100_bcc,surface_energy_100_fcc,surface_energy_110_bcc,surface_energy_110_fcc,surface_energy_111_bcc,surface_energy_111_fcc,surface_energy_121_bcc,surface_energy_121_fcc,extr_stack_fault_energy_fcc,intr_stack_fault_energy_fcc,unstable_stack_energy_fcc,unstable_stack_energy_slip_fraction_fcc,unstable_twinning_energy_fcc,unstable_twinning_energy_slip_fraction_fcc,relaxed_formation_potential_energy_bcc,relaxed_formation_potential_energy_fcc,relaxed_formation_potential_energy_hcp,unrelaxed_formation_potential_energy_bcc,unrelaxed_formation_potential_energy_fcc,unrelaxed_formation_potential_energy_hcp,vacancy_migration_energy_bcc,vacancy_migration_energy_fcc,vacancy_migration_energy_hcp,vacancy_migration_energy_sc,relaxation_volume_bcc,relaxation_volume_fcc,relaxation_volume_hcp,coeff,grain_energy_analytical,grain_energy_analytical_unrelaxed
0,Al,"[0, 0, 1]",fcc,"(0.0, 14.250032697803595, 16.26020470831196, 18.924644416051233, 22.619864948040426, 28.072486935852957, 31.890791801845708, 36.86989764584402, 41.112090439166934, 43.60281897270362, 46.39718102729638, 53.13010235415598, 59.48976259388444, 61.92751306414704, 64.01076641616699, 67.38013505195957, 71.07535558394876, 73.73979529168804, 77.31961650818018, 79.61114218453038, 81.20258929000894, 82.3718503314193, 90.0)",3.227048792243004,4.044902426183776,2.6996517395255744,64.54435488703751,80.99481659982047,68.19173785791169,36.63456998193277,34.83017454023264,-2.9301273673190797,78.30632557157602,62.121240278833874,28.015964249824602,37.02041351796052,118.74196924179365,148.54328507408584,3.2877303860756673,3.376110432751336,3.100924715637306,,2.765378293349701e-05,,0.05722198499547691,,0.06211884068202482,,0.05046224520395584,,0.05933791053523709,0.006155400702621591,0.005860949185122941,0.010861263079746192,0.5969043926164201,0.013126024231543734,1.5192352175245083,,0.7188228357131854,,,0.826735029483635,,,0.5800464910182197,,,,5.713036570370857,,0.9505134942248596,"[0.004687011573285408, 0.4867489367109753, 0.49660066137341285, 0.5068307869164237, 0.5162445019206264, 0.5213638051871468, 0.5180903085910445, 0.5032761989082417, 0.5160492242343941, 0.5194548903854697, 0.5204701270187928, 0.5128449378309823, 0.49717600554952746, 0.48795351384224406, 0.47853079195369064, 0.4598358992852297, 0.43350215524742997, 0.4098948422834924, 0.3706153646877818, 0.33996563059347873, 0.3156878556763322, 0.296095260786582, 0.046531879150752284]","[0.3367496591743172, 0.4867489367109753, 0.49660066137341285, 0.5068307869164237, 0.5162445019206264, 0.5213638051871468, 0.5180903085910445, 0.5032761989082417, 0.5160492242343941, 0.5194548903854697, 0.5204701270187928, 0.5128449378309823, 0.49717600554952746, 0.48795351384224406, 0.47853079195369064, 0.4598358992852297, 0.43350215524742997, 0.4098948422834924, 0.3706153646877818, 0.33996563059347873, 0.3156878556763322, 0.296095260786582, 0.12109210951243221]"
1,Cu,"[0, 0, 1]",fcc,"(0.0, 14.250032697803595, 16.26020470831196, 18.924644416051233, 22.619864948040426, 28.072486935852957, 31.890791801845708, 36.86989764584402, 41.112090439166934, 43.60281897270362, 46.39718102729638, 53.13010235415598, 59.48976259388444, 61.92751306414704, 64.01076641616699, 67.38013505195957, 71.07535558394876, 73.73979529168804, 77.31961650818018, 79.61114218453038, 81.20258929000894, 82.3718503314193, 90.0)",2.8765464617195082,3.6206908504898645,2.3855121010074427,140.8548740993387,140.74293546117096,112.97339669666819,97.77442395932647,80.23817740544531,-4.061343785742206,149.93040560812562,123.9146685786844,7.191724319961324,122.70381108176483,174.3994692261441,324.53674145008193,3.491856747768284,3.5341051170093727,3.1652816962319505,,1.7271725361865934e-05,,0.08585154598427797,,0.09131154878391139,,0.07670413383699153,,0.08866008982820521,0.004599202800144221,0.003398070678438362,0.013806412387913757,0.5247005208333172,0.01613792127655286,1.5063466988355847,,1.1927390039745493,,,1.2364989467398966,,,0.8717727002647281,,,,4.423162270342504,,1.5937831063596692,"[0.005303663585953627, 0.514003909248736, 0.5238637098218686, 0.5339556465257431, 0.5430471533691215, 0.5476618014356254, 0.5438524812360064, 0.52733449032102, 0.541734360649023, 0.545613348714943, 0.5469861766142903, 0.5399957522417951, 0.5252375510264484, 0.5163333288218135, 0.5071548603768801, 0.4887354263624276, 0.4623849728909937, 0.4384101815415985, 0.3978711360548157, 0.36573406530888186, 0.339991308838557, 0.3190422878381406, 0.05251905448148918]","[0.35245293882909734, 0.514003909248736, 0.5238637098218686, 0.5339556465257431, 0.5430471533691215, 0.5476618014356254, 0.5438524812360064, 0.52733449032102, 0.541734360649023, 0.545613348714943, 0.5469861766142903, 0.5399957522417951, 0.5252375510264484, 0.5163333288218135, 0.5071548603768801, 0.4887354263624276, 0.4623849728909937, 0.4384101815415985, 0.3978711360548157, 0.36573406530888186, 0.339991308838557, 0.3190422878381406, 0.1258708548207732]"
2,Fe,"[0, 0, 1]",fcc,"(0.0, 14.250032697803595, 16.26020470831196, 18.924644416051233, 22.619864948040426, 28.072486935852957, 31.890791801845708, 36.86989764584402, 41.112090439166934, 43.60281897270362, 46.39718102729638, 53.13010235415598, 59.48976259388444, 61.92751306414704, 64.01076641616699, 67.38013505195957, 71.07535558394876, 73.73979529168804, 77.31961650818018, 79.61114218453038, 81.20258929000894, 82.3718503314193, 90.0)",2.8679365872669575,3.6030228334353933,2.3965245987941968,168.19315484557632,174.25710502690302,138.02536316373323,123.06925134018293,102.16401838720732,-40.981162133473006,144.2465037145701,150.48672533727418,10.610114892526175,216.0864571075888,221.79786440616073,392.8558597061474,4.277547852543588,4.274889438201916,3.4326749490676773,7.713687583118553e-06,,0.10635130844139708,,0.09871982728703416,,0.11822957356605238,,0.102385095462426,,,,,,,,-16.35684026530912,,,1.9353536342040538,,,0.8763159518186348,,,,-24.42905526386568,,,1.8431084246861602,"[0.006778047763236299, 0.5563181580476823, 0.5654549473849889, 0.5744447771434218, 0.5820789802008735, 0.5852092167018729, 0.5803806883214535, 0.560213865898801, 0.5781790977871339, 0.5829531174538396, 0.5850397151082302, 0.579911119639877, 0.5684350395143742, 0.5609576186884048, 0.5530580270216645, 0.5366936028371236, 0.5122673759755761, 0.4891359741852638, 0.44830422955583493, 0.4145613489528417, 0.3867315769257549, 0.3635886815447237, 0.0666825114302089]","[0.37360262195870186, 0.5563181580476823, 0.5654549473849889, 0.5744447771434218, 0.5820789802008735, 0.5852092167018729, 0.5803806883214535, 0.560213865898801, 0.5781790977871339, 0.5829531174538396, 0.5850397151082302, 0.579911119639877, 0.5684350395143742, 0.5609576186884048, 0.5530580270216645, 0.5366936028371236, 0.5122673759755761, 0.4891359741852638, 0.44830422955583493, 0.4145613489528417, 0.3867315769257549, 0.3635886815447237, 0.13171415338266568]"
3,Ni,"[0, 0, 1]",fcc,"(0.0, 14.250032697803595, 16.26020470831196, 18.924644416051233, 22.619864948040426, 28.072486935852957, 31.890791801845708, 36.86989764584402, 41.112090439166934, 43.60281897270362, 46.39718102729638, 53.13010235415598, 59.48976259388444, 61.92751306414704, 64.01076641616699, 67.38013505195957, 71.07535558394876, 73.73979529168804, 77.31961650818018, 79.61114218453038, 81.20258929000894, 82.3718503314193, 90.0)",2.802871697486561,3.5798639767359353,2.378506464727014,150.9038706146077,184.23055427847797,137.0275131296042,134.37110857380833,126.48124558189029,-13.953947517993695,168.19545569820238,149.10503984842907,19.94061470133396,116.32070044741842,254.4815831385758,371.2013099861446,4.247361850311262,4.379848677679928,3.743869773671387,,1.1674224578810234e-05,,0.12084014615190307,,0.12974615900448533,,0.10836238117466303,,0.1256064924346212,0.006805373555166087,0.006683199043734146,0.02133016507749094,0.536314154730905,0.024491090096469038,1.4957722529659714,,1.5656797821015345,,,1.607767747983772,,,4.394234976419198,,,,1.9649225930965712,,2.31370019456545,"[0.005491675878720209, 0.5209999528128324, 0.5308180865415391, 0.5408205497978125, 0.549769362312402, 0.5542070840357729, 0.5502445262027876, 0.5332269952637951, 0.548108842705955, 0.5521222975210982, 0.5536001079091335, 0.5468329904883902, 0.5324277368566002, 0.5236637995270936, 0.5146038423654384, 0.49635447860605697, 0.47011606538248896, 0.44612901698691876, 0.40535904786532073, 0.37287548128064085, 0.3467623419936733, 0.32545556884352866, 0.054337002700321844]","[0.356276616555532, 0.5209999528128324, 0.5308180865415391, 0.5408205497978125, 0.549769362312402, 0.5542070840357729, 0.5502445262027876, 0.5332269952637951, 0.548108842705955, 0.5521222975210982, 0.5536001079091335, 0.5468329904883902, 0.5324277368566002, 0.5236637995270936, 0.5146038423654384, 0.49635447860605697, 0.47011606538248896, 0.44612901698691876, 0.40535904786532073, 0.37287548128064085, 0.3467623419936733, 0.32545556884352866, 0.1269879047159519]"
4,Al,"[1, 1, 0]",fcc,"(0.0, 20.049975724151484, 22.84350731792459, 26.525352016609688, 31.586338096527925, 38.94244126898138, 44.00342734889962, 50.47880364135782, 55.8767054592047, 58.99241699313286, 62.439396894736774, 70.52877936550931, 77.88488253796277, 80.63108442154517, 82.945868617881, 86.6277133165661, 93.3722866834339, 97.054131382119, 99.36891557845483, 102.11511746203723, 109.47122063449069, 117.56060310526324, 121.00758300686714, 124.1232945407953, 129.5211963586422, 135.99657265110037, 141.05755873101862, 148.41366190347208, 153.4746479833903, 157.15649268207542, 159.95002427584853, 180.0)",3.227048792243004,4.044902426183776,2.6996517395255744,64.54435488703751,80.99481659982047,68.19173785791169,36.63456998193277,34.83017454023264,-2.9301273673190797,78.30632557157602,62.121240278833874,28.015964249824602,37.02041351796052,118.74196924179365,148.54328507408584,3.2877303860756673,3.376110432751336,3.100924715637306,,2.765378293349701e-05,,0.05722198499547691,,0.06211884068202482,,0.05046224520395584,,0.05933791053523709,0.006155400702621591,0.005860949185122941,0.010861263079746192,0.5969043926164201,0.013126024231543734,1.5192352175245083,,0.7188228357131854,,,0.826735029483635,,,0.5800464910182197,,,,5.713036570370857,,0.9505134942248596,"[0.04653187915075034, 0.43860833198239546, 0.4548852282453688, 0.4695014410538566, 0.4757836873993363, 0.47963556268776986, 0.46029552930679773, 0.40169830332983103, 0.4533761603313815, 0.4702824747712726, 0.4802710584271084, 0.47211652847950303, 0.4645169235021033, 0.45357919363077115, 0.4420300338119818, 0.4174621548416335, 0.3504393147521817, 0.2989795024519767, 0.2598242999381012, 0.20517897644307082, 9.992007221626409e-16, 0.2207262381336461, 0.28476030403905095, 0.33165994854354774, 0.39345300033553665, 0.4420719417306729, 0.4636339762131898, 0.4763781834738269, 0.4643760731323088, 0.47862674229713975, 0.48249816259274547, 0.004687011573286021]","[0.12109210951244764, 0.43860833198239546, 0.4548852282453688, 0.4695014410538566, 0.4757836873993363, 0.47963556268776986, 0.46029552930679773, 0.40169830332983103, 0.4533761603313815, 0.4702824747712726, 0.4802710584271084, 0.47211652847950303, 0.4645169235021033, 0.45357919363077115, 0.4420300338119818, 0.4174621548416335, 0.3504393147521817, 0.2989795024519767, 0.2598242999381012, 0.20517897644307082, 9.992007221626409e-16, 0.2207262381336461, 0.28476030403905095, 0.33165994854354774, 0.39345300033553665, 0.4420719417306729, 0.4636339762131898, 0.4763781834738269, 0.4643760731323088, 0.47862674229713975, 0.48249816259274547, 0.3367496591743139]"
5,Cu,"[1, 1, 0]",fcc,"(0.0, 20.049975724151484, 22.84350731792459, 26.525352016609688, 31.586338096527925, 38.94244126898138, 44.00342734889962, 50.47880364135782, 55.8767054592047, 58.99241699313286, 62.439396894736774, 70.52877936550931, 77.88488253796277, 80.63108442154517, 82.945868617881, 86.6277133165661, 93.3722866834339, 97.054131382119, 99.36891557845483, 102.11511746203723, 109.47122063449069, 117.56060310526324, 121.00758300686714, 124.1232945407953, 129.5211963586422, 135.99657265110037, 141.05755873101862, 148.41366190347208, 153.4746479833903, 157.15649268207542, 159.95002427584853, 180.0)",2.8765464617195082,3.6206908504898645,2.3855121010074427,140.8548740993387,140.74293546117096,112.97339669666819,97.77442395932647,80.23817740544531,-4.061343785742206,149.93040560812562,123.9146685786844,7.191724319961324,122.70381108176483,174.3994692261441,324.53674145008193,3.491856747768284,3.5341051170093727,3.1652816962319505,,1.7271725361865934e-05,,0.08585154598427797,,0.09131154878391139,,0.07670413383699153,,0.08866008982820521,0.004599202800144221,0.003398070678438362,0.013806412387913757,0.5247005208333172,0.01613792127655286,1.5063466988355847,,1.1927390039745493,,,1.2364989467398966,,,0.8717727002647281,,,,4.423162270342504,,1.5937831063596692,"[0.05251905448149609, 0.4679074937992155, 0.48429753737215553, 0.4988206489115493, 0.5043059527115077, 0.5081612489110221, 0.4872794721347369, 0.422258054248807, 0.479776360768844, 0.49813201528659545, 0.5088999918451521, 0.500413057573303, 0.4943768257091278, 0.48364130224276103, 0.4722753589626232, 0.4477853806760339, 0.3797037696245419, 0.3263194273675466, 0.28509606590315595, 0.2267430264257665, 1.3322676295501878e-15, 0.24343951591269342, 0.31140787446078366, 0.3603296597666904, 0.42359493501066103, 0.47232247193516286, 0.49337893846848224, 0.5052761058551134, 0.4911287192611389, 0.5068542914851885, 0.5111308021848215, 0.005303663585953964]","[0.12587085482078342, 0.4679074937992155, 0.48429753737215553, 0.4988206489115493, 0.5043059527115077, 0.5081612489110221, 0.4872794721347369, 0.422258054248807, 0.479776360768844, 0.49813201528659545, 0.5088999918451521, 0.500413057573303, 0.4943768257091278, 0.48364130224276103, 0.4722753589626232, 0.4477853806760339, 0.3797037696245419, 0.3263194273675466, 0.28509606590315595, 0.2267430264257665, 1.3322676295501878e-15, 0.24343951591269342, 0.31140787446078366, 0.3603296597666904, 0.42359493501066103, 0.47232247193516286, 0.49337893846848224, 0.5052761058551134, 0.4911287192611389, 0.5068542914851885, 0.5111308021848215, 0.35245293882909756]"
6,Fe,"[1, 1, 0]",fcc,"(0.0, 20.049975724151484, 22.84350731792459, 26.525352016609688, 31.586338096527925, 38.94244126898138, 44.00342734889962, 50.47880364135782, 55.8767054592047, 58.99241699313286, 62.439396894736774, 70.52877936550931, 77.88488253796277, 80.63108442154517, 82.945868617881, 86.6277133165661, 93.3722866834339, 97.054131382119, 99.36891557845483, 102.11511746203723, 109.47122063449069, 117.56060310526324, 121.00758300686714, 124.1232945407953, 129.5211963586422, 135.99657265110037, 141.05755873101862, 148.41366190347208, 153.4746479833903, 157.15649268207542, 159.95002427584853, 180.0)",2.8679365872669575,3.6030228334353933,2.3965245987941968,168.19315484557632,174.25710502690302,138.02536316373323,123.06925134018293,102.16401838720732,-40.981162133473006,144.2465037145701,150.48672533727418,10.610114892526175,216.0864571075888,221.79786440616073,392.8558597061474,4.277547852543588,4.274889438201916,3.4326749490676773,7.713687583118553e-06,,0.10635130844139708,,0.09871982728703416,,0.11822957356605238,,0.102385095462426,,,,,,,,-16.35684026530912,,,1.9353536342040538,,,0.8763159518186348,,,,-24.42905526386568,,,1.8431084246861602,"[0.0666825114302129, 0.5182625716687099, 0.533644196156722, 0.5467759274215394, 0.5495856261243639, 0.5535171401279632, 0.5302742942854013, 0.45156937785484597, 0.5217419897130477, 0.5425459920633868, 0.5544119674399824, 0.5451501886811176, 0.5437899154004111, 0.5343309471948889, 0.5242779617517854, 0.5017893234345774, 0.43592353405456263, 0.3812959313515395, 0.3374608138170405, 0.2731053496434891, 2.32225350060844e-12, 0.29178640440310244, 0.3656007268579645, 0.4163869768958972, 0.4789046769724268, 0.5243365760553125, 0.5425222262477929, 0.5514908302097533, 0.532328778831633, 0.5513118432849149, 0.556460430353731, 0.0067780477632352065]","[0.13171415338265857, 0.5182625716687099, 0.533644196156722, 0.5467759274215394, 0.5495856261243639, 0.5535171401279632, 0.5302742942854013, 0.45156937785484597, 0.5217419897130477, 0.5425459920633868, 0.5544119674399824, 0.5451501886811176, 0.5437899154004111, 0.5343309471948889, 0.5242779617517854, 0.5017893234345774, 0.43592353405456263, 0.3812959313515395, 0.3374608138170405, 0.2731053496434891, 2.32225350060844e-12, 0.29178640440310244, 0.3656007268579645, 0.4163869768958972, 0.4789046769724268, 0.5243365760553125, 0.5425222262477929, 0.5514908302097533, 0.532328778831633, 0.5513118432849149, 0.556460430353731, 0.37360262289870105]"
7,Ni,"[1, 1, 0]",fcc,"(0.0, 20.049975724151484, 22.84350731792459, 26.525352016609688, 31.586338096527925, 38.94244126898138, 44.00342734889962, 50.47880364135782, 55.8767054592047, 58.99241699313286, 62.439396894736774, 70.52877936550931, 77.88488253796277, 80.63108442154517, 82.945868617881, 86.6277133165661, 93.3722866834339, 97.054131382119, 99.36891557845483, 102.11511746203723, 109.47122063449069, 117.56060310526324, 121.00758300686714, 124.1232945407953, 129.5211963586422, 135.99657265110037, 141.05755873101862, 148.41366190347208, 153.4746479833903, 157.15649268207542, 159.95002427584853, 180.0)",2.802871697486561,3.5798639767359353,2.378506464727014,150.9038706146077,184.23055427847797,137.0275131296042,134.37110857380833,126.48124558189029,-13.953947517993695,168.19545569820238,149.10503984842907,19.94061470133396,116.32070044741842,254.4815831385758,371.2013099861446,4.247361850311262,4.379848677679928,3.743869773671387,,1.1674224578810234e-05,,0.12084014615190307,,0.12974615900448533,,0.10836238117466303,,0.1256064924346212,0.006805373555166087,0.006683199043734146,0.02133016507749094,0.536314154730905,0.024491090096469038,1.4957722529659714,,1.5656797821015345,,,1.607767747983772,,,4.394234976419198,,,,1.9649225930965712,,2.31370019456545,"[0.05433700270031773, 0.4757400864044927, 0.4920901741011827, 0.5065151039810574, 0.5117083032866139, 0.515563312493396, 0.49427705083416973, 0.42737877466673624, 0.48661434799898917, 0.5053617705905091, 0.5163297050773956, 0.5077484187491887, 0.5022539094910796, 0.49162981100771674, 0.4803733712361925, 0.45601634804221003, 0.38788819838564226, 0.334105771212756, 0.29237982953056796, 0.2330499198789694, -2.220446049250313e-16, 0.250056227421791, 0.31903123617226603, 0.36840414893370954, 0.4318731947355442, 0.480421965219907, 0.501221198597954, 0.5127969378497012, 0.49799439071753615, 0.5141551706778469, 0.5185508101929744, 0.005491675878717829]","[0.1269879047159289, 0.4757400864044927, 0.4920901741011827, 0.5065151039810574, 0.5117083032866139, 0.515563312493396, 0.49427705083416973, 0.42737877466673624, 0.48661434799898917, 0.5053617705905091, 0.5163297050773956, 0.5077484187491887, 0.5022539094910796, 0.49162981100771674, 0.4803733712361925, 0.45601634804221003, 0.38788819838564226, 0.334105771212756, 0.29237982953056796, 0.2330499198789694, -2.220446049250313e-16, 0.250056227421791, 0.31903123617226603, 0.36840414893370954, 0.4318731947355442, 0.480421965219907, 0.501221198597954, 0.5127969378497012, 0.49799439071753615, 0.5141551706778469, 0.5185508101929744, 0.356276616555533]"
8,Al,"[1, 1, 1]",fcc,"(0.0, 24.43269767945453, 27.79577249602797, 32.20422750397202, 38.21321070173819, 46.82644889274107, 52.659006983369785, 59.99999999999999)",3.227048792243004,4.044902426183776,2.6996517395255744,64.54435488703751,80.99481659982047,68.19173785791169,36.63456998193277,34.83017454023264,-2.9301273673190797,78.30632557157602,62.121240278833874,28.015964249824602,37.02041351796052,118.74196924179365,148.54328507408584,3.2877303860756673,3.376110432751336,3.100924715637306,,2.765378293349701e-05,,0.05722198499547691,,0.06211884068202482,,0.05046224520395584,,0.05933791053523709,0.006155400702621591,0.005860949185122941,0.010861263079746192,0.5969043926164201,0.013126024231543734,1.5192352175245083,,0.7188228357131854,,,0.826735029483635,,,0.5800464910182197,,,,5.713036570370857,,0.9505134942248596,"[0.023127391091993216, 0.5869416942639347, 0.5908759328325168, 0.5925029306978147, 0.5891793583861115, 0.5762030441886121, 0.5638301827136663, 0.5451532096130263]","[0.4721165284795127, 0.6429489450968865, 0.6501858933321978, 0.656270252923175, 0.6553042589664837, 0.6594333768768665, 0.6498629585455167, 0.6215647315814548]"
9,Cu,"[1, 1, 1]",fcc,"(0.0, 24.43269767945453, 27.79577249602797, 32.20422750397202, 38.21321070173819, 46.82644889274107, 52.659006983369785, 59.99999999999999)",2.8765464617195082,3.6206908504898645,2.3855121010074427,140.8548740993387,140.74293546117096,112.97339669666819,97.77442395932647,80.23817740544531,-4.061343785742206,149.93040560812562,123.9146685786844,7.191724319961324,122.70381108176483,174.3994692261441,324.53674145008193,3.491856747768284,3.5341051170093727,3.1652816962319505,,1.7271725361865934e-05,,0.08585154598427797,,0.09131154878391139,,0.07670413383699153,,0.08866008982820521,0.004599202800144221,0.003398070678438362,0.013806412387913757,0.5247005208333172,0.01613792127655286,1.5063466988355847,,1.1927390039745493,,,1.2364989467398966,,,0.8717727002647281,,,,4.423162270342504,,1.5937831063596692,"[0.026118414085909585, 0.6191992486078004, 0.6229823048046085, 0.6245213928810291, 0.6213755498492901, 0.6092411609496029, 0.5973994426770212, 0.5778272269918996]","[0.5004130575488478, 0.6810083559184577, 0.6880423488903271, 0.6939157909110922, 0.6921659955394176, 0.6966519217982401, 0.6863778453300722, 0.6550451610549723]"
10,Fe,"[1, 1, 1]",fcc,"(0.0, 24.43269767945453, 27.79577249602797, 32.20422750397202, 38.21321070173819, 46.82644889274107, 52.659006983369785, 59.99999999999999)",2.8679365872669575,3.6030228334353933,2.3965245987941968,168.19315484557632,174.25710502690302,138.02536316373323,123.06925134018293,102.16401838720732,-40.981162133473006,144.2465037145701,150.48672533727418,10.610114892526175,216.0864571075888,221.79786440616073,392.8558597061474,4.277547852543588,4.274889438201916,3.4326749490676773,7.713687583118553e-06,,0.10635130844139708,,0.09871982728703416,,0.11822957356605238,,0.102385095462426,,,,,,,,-16.35684026530912,,,1.9353536342040538,,,0.8763159518186348,,,,-24.42905526386568,,,1.8431084246861602,"[0.03321136727122016, 0.667532000725293, 0.6706446010259262, 0.6718478111855143, 0.6693353325030891, 0.6600398637787546, 0.6503134118624634, 0.6294852163676388]","[0.5451502773555063, 0.7410936531414591, 0.747127124301002, 0.7520996050353411, 0.7483378804481646, 0.7537197257418203, 0.7424337454932057, 0.7047018432828788]"
11,Ni,"[1, 1, 1]",fcc,"(0.0, 24.43269767945453, 27.79577249602797, 32.20422750397202, 38.21321070173819, 46.82644889274107, 52.659006983369785, 59.99999999999999)",2.802871697486561,3.5798639767359353,2.378506464727014,150.9038706146077,184.23055427847797,137.0275131296042,134.37110857380833,126.48124558189029,-13.953947517993695,168.19545569820238,149.10503984842907,19.94061470133396,116.32070044741842,254.4815831385758,371.2013099861446,4.247361850311262,4.379848677679928,3.743869773671387,,1.1674224578810234e-05,,0.12084014615190307,,0.12974615900448533,,0.10836238117466303,,0.1256064924346212,0.006805373555166087,0.006683199043734146,0.02133016507749094,0.536314154730905,0.024491090096469038,1.4957722529659714,,1.5656797821015345,,,1.607767747983772,,,4.394234976419198,,,,1.9649225930965712,,2.31370019456545,"[0.027027467595211102, 0.627387174216645, 0.6311041405465403, 0.6326079053447611, 0.629530975452101, 0.6177128657491776, 0.6060900531351883, 0.5862973724909035]","[0.5077484184503112, 0.6908614548548495, 0.6978006955976666, 0.703583334384605, 0.7015824364450038, 0.7061779056079318, 0.6957231650468187, 0.6635075758591467]"
